nb_mentions_global_g,nb_candidats_g,pourcent_mention_par_candidat_g,taux_de_reussite_g,note_a_l_ecrit_g,nb_mentions_b_g,pourcent_mentions_b_g,secteur,code_departement
6,32,18.75,91.0,7.6,3,50,0,973
10,53,18.8679245283019,47.0,6.4,3,30,0,87
12,37,32.4324324324324,54.0,7.2,5,41.6666666666667,0,16
13,33,39.3939393939394,76.0,9.0,3,23.0769230769231,0,16
14,30,46.6666666666667,73.0,8.9,4,28.5714285714286,1,30
14,30,46.6666666666667,83.0,7.3,5,35.7142857142857,0,972
14,48,29.1666666666667,58.0,7.5,4,28.5714285714286,0,87
14,59,23.728813559322,64.0,4.0,5,35.7142857142857,0,973
15,30,50,63.0,6.4,4,26.6666666666667,1,73
15,32,46.875,84.0,10.3,4,26.6666666666667,0,28
15,32,46.875,88.0,10.2,7,46.6666666666667,0,87
15,33,45.4545454545455,73.0,9.1,3,20,0,61
15,35,42.8571428571429,71.0,8.6,7,46.6666666666667,1,44
15,41,36.5853658536585,78.0,7.7,5,33.3333333333333,0,49
16,32,50,78.0,9.8,4,25,0,6
16,33,48.4848484848485,76.0,9.0,3,18.75,1,68
16,35,45.7142857142857,86.0,9.8,9,56.25,0,72
16,39,41.025641025641,77.0,8.6,8,50,0,17
16,40,40,88.0,8.7,6,37.5,0,87
16,46,34.7826086956522,89.0,6.3,8,50,0,971
16,49,32.6530612244898,61.0,8.2,8,50,0,44
16,56,28.5714285714286,75.0,6.9,9,56.25,1,973
17,30,56.6666666666667,80.0,9.3,7,41.1764705882353,0,27
17,30,56.6666666666667,83.0,9.0,4,23.5294117647059,0,84
17,31,54.8387096774194,74.0,9.6,4,23.5294117647059,1,35
17,31,54.8387096774194,84.0,12.8,3,17.6470588235294,1,37
17,32,53.125,66.0,9.6,5,29.4117647058824,1,94
17,33,51.5151515151515,88.0,11.0,13,76.4705882352941,1,1
17,37,45.945945945946,86.0,9.4,8,47.0588235294118,1,59
17,38,44.7368421052632,79.0,9.0,7,41.1764705882353,1,44
17,45,37.7777777777778,62.0,7.7,5,29.4117647058824,0,87
17,57,29.8245614035088,54.0,7.8,3,17.6470588235294,0,59
17,60,28.3333333333333,62.0,6.2,7,41.1764705882353,0,972
18,31,58.0645161290323,74.0,8.0,5,27.7777777777778,0,33
18,31,58.0645161290323,84.0,9.7,6,33.3333333333333,0,53
18,32,56.25,88.0,9.7,7,38.8888888888889,1,59
18,33,54.5454545454545,85.0,10.1,6,33.3333333333333,0,3
18,34,52.9411764705882,74.0,10.4,7,38.8888888888889,0,49
18,35,51.4285714285714,69.0,9.5,6,33.3333333333333,0,49
18,36,50,92.0,7.1,2,11.1111111111111,1,971
18,37,48.6486486486487,84.0,9.9,4,22.2222222222222,0,83
18,37,48.6486486486487,95.0,10.2,7,38.8888888888889,1,54
18,38,47.3684210526316,71.0,8.1,4,22.2222222222222,0,17
18,38,47.3684210526316,84.0,9.5,13,72.2222222222222,1,39
18,42,42.8571428571429,71.0,7.7,6,33.3333333333333,0,49
18,44,40.9090909090909,55.0,7.4,5,27.7777777777778,0,59
18,46,39.1304347826087,65.0,8.3,1,5.55555555555556,0,30
18,49,36.734693877551,63.0,9.1,7,38.8888888888889,0,59
18,53,33.9622641509434,75.0,8.0,3,16.6666666666667,0,14
18,60,30,67.0,6.0,4,22.2222222222222,0,59
18,62,29.0322580645161,63.0,6.1,4,22.2222222222222,0,59
19,30,63.3333333333333,87.0,10.3,2,10.5263157894737,1,37
19,30,63.3333333333333,93.0,11.6,6,31.5789473684211,1,86
19,31,61.2903225806452,84.0,9.4,3,15.7894736842105,0,53
19,31,61.2903225806452,84.0,10.6,8,42.1052631578947,0,88
19,31,61.2903225806452,87.0,9.6,8,42.1052631578947,0,37
19,33,57.5757575757576,79.0,10.1,6,31.5789473684211,1,94
